State,Mean_Sunshine
Baden-Württemberg,157.44269096005607
Bayern,154.40725255972697
Berlin,154.6240719910011
Brandenburg,157.49059162569924
Bremen,158.776254180602
Hamburg,152.83363994743758
Hessen,149.66789941531587
Mecklenburg-Vorpommern,157.77140921409213
Niedersachsen,151.01901830142532
Nordrhein-Westfalen,146.9036424325828
Rheinland-Pfalz,155.45168301886793
Saarland,158.53473076923078
Sachsen-Anhalt,153.3530614226754
Sachsen,155.8427211033275
Schleswig-Holstein,158.35447422137355
Thüringen,147.31407975460124
