State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.98274982480729,3.8,12.0
Bayern,8.335025597269624,-3.9,10.7
Berlin,9.616085489313837,9.1,10.5
Brandenburg,9.224200711985084,8.4,9.8
Bremen,9.460869565217392,9.3,9.6
Hamburg,9.325229960578186,8.8,9.7
Hessen,9.113124494937493,5.6,11.4
Mecklenburg-Vorpommern,8.783053588600403,8.0,9.4
Niedersachsen,9.417930336510079,4.5,10.3
Nordrhein-Westfalen,9.85533042485287,5.7,11.9
Rheinland-Pfalz,9.543818867924529,6.8,11.4
Saarland,9.719423076923077,7.7,10.9
Sachsen-Anhalt,9.34734158776402,3.9,10.0
Sachsen,8.620851576182137,3.7,9.8
Schleswig-Holstein,8.859359978929348,8.2,9.4
Thüringen,8.45179754601227,4.8,10.2
