State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.691498248072879,4.4,12.9
Bayern,9.129570534698521,-3.3,11.7
Berlin,10.832395950506188,10.3,11.5
Brandenburg,10.403159857602985,9.5,11.0
Bremen,10.390635451505018,10.2,10.4
Hamburg,10.294875164257556,9.8,10.6
Hessen,9.777392213718686,6.4,12.0
Mecklenburg-Vorpommern,9.738945712037765,8.8,10.3
Niedersachsen,10.277515391751706,5.4,11.1
Nordrhein-Westfalen,10.519506339121014,6.3,12.4
Rheinland-Pfalz,10.096583647798742,7.4,12.1
Saarland,10.273807692307694,8.4,11.5
Sachsen-Anhalt,10.388099053168244,4.7,11.0
Sachsen,9.845714754816111,4.9,11.3
Schleswig-Holstein,9.81080529400145,9.2,10.4
Thüringen,9.368159509202455,5.6,11.2
