State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.102503153468817,4.2,12.0
DEBY,8.614564846416384,-3.0,11.3
DEBE,10.189876265466816,9.9,10.5
DEBB,9.940166129852516,9.0,10.4
DEHB,10.080267558528428,9.9,10.1
DEHH,10.134691195795009,9.5,10.7
DEHE,9.226657793411608,6.0,11.4
DEMV,9.359974648133578,8.4,10.0
DENI,9.893512271232185,4.9,10.7
DENW,9.976657980265276,6.1,11.9
DERP,9.551028930817608,7.0,11.7
DESL,9.815923076923076,7.7,11.1
DEST,9.931638747268751,4.6,11.1
DESN,9.320320709281962,4.6,10.9
DESH,9.536978995193255,8.9,10.1
DETH,8.69466871165644,5.3,10.4
