State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.58262368605466,3.2,11.7
Bayern,7.977113196814562,-4.5,10.5
Berlin,9.851181102362206,9.1,10.8
Brandenburg,9.316521444312595,8.6,10.0
Bremen,9.720066889632108,9.6,9.9
Hamburg,9.705519053876477,9.2,10.0
Hessen,9.14220658839188,5.7,11.6
Mecklenburg-Vorpommern,9.0528804965469,8.2,9.7
Niedersachsen,9.639759213966434,4.5,10.5
Nordrhein-Westfalen,9.88466898954704,5.8,12.0
Rheinland-Pfalz,9.553388679245282,6.9,11.4
Saarland,9.860653846153847,7.8,10.9
Sachsen-Anhalt,9.424170915270697,4.0,10.2
Sachsen,8.585814360770579,3.9,9.9
Schleswig-Holstein,9.242602225587673,8.7,9.8
Thüringen,8.397196319018404,4.9,10.0
