State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.194623686054658,3.1,11.2
Bayern,7.460793515358362,-3.9,10.1
Berlin,9.350281214848144,8.9,10.2
Brandenburg,8.980457704695711,8.0,9.5
Bremen,8.948494983277593,8.8,9.0
Hamburg,9.033639947437582,8.4,9.6
Hessen,8.286005609164805,5.0,10.5
Mecklenburg-Vorpommern,8.438578547075792,7.6,9.0
Niedersachsen,8.802040988445643,4.2,9.7
Nordrhein-Westfalen,9.023183907709425,5.0,11.2
Rheinland-Pfalz,8.703134591194967,6.1,10.8
Saarland,9.105461538461538,6.8,10.4
Sachsen-Anhalt,8.821048798252002,3.6,10.1
Sachsen,8.186202933450087,3.4,9.9
Schleswig-Holstein,8.45853032198591,7.9,9.0
Thüringen,7.67159509202454,4.4,9.4
