State,mean_ndvi,Mean_Sunshine,Year
DEBB,0.2016700745693513,152.4478318359044,1985
DEBE,0.1558188107023793,154.21676040494935,1985
DEBW,0.1964834492800554,171.7217995795375,1985
DEBY,0.2248332271830571,164.4926720705347,1985
DEHB,0.2634650412069583,139.50635451505016,1985
DEHE,0.1826084135110107,146.8899557921757,1985
DEHH,0.2132529393551741,137.42141918528253,1985
DEMV,0.1974894433879094,146.8757321444182,1985
DENI,0.2512625981335561,138.32220418318292,1985
DENW,0.1961347757408361,143.84732527157203,1985
DERP,0.1890448722781386,153.16129308176102,1985
DESH,0.2263354457057416,138.12442878777904,1985
DESL,0.1892982898226736,159.59234615384614,1985
DESN,0.2070388811457916,148.01064470227672,1985
DEST,0.1998380296203118,147.16628793396455,1985
DETH,0.1965397107253907,149.73001226993867,1985
DEBB,0.1877664025779845,166.18613324292252,1986
DEBE,0.1262784951413325,166.1923509561305,1986
DEBW,0.2036824327825499,156.381359495445,1986
DEBY,0.2157586775846127,160.12939988623432,1986
DEHB,0.1667989304761918,158.02408026755853,1986
DEHE,0.2317479474762071,143.79756619289824,1986
DEHH,0.1456536405840314,155.72838370565046,1986
DEMV,0.1883016307105667,166.76797359909085,1986
DENI,0.2014345748374622,151.42885848022266,1986
DENW,0.1974099544284872,151.0103592656575,1986
DERP,0.2174231358744223,147.97105911949686,1986
DESH,0.2438414074355815,153.8137420161981,1986
DESL,0.1872913655283235,150.298,1986
DESN,0.2038675226096704,156.10211252189143,1986
DEST,0.1651229032560492,154.23274581209034,1986
DETH,0.1667292224740882,146.46585276073623,1986
DEBB,0.1787965293350402,149.2373215799288,1987
DEBE,0.1346424858988937,147.903487064117,1987
DEBW,0.1760859072530572,143.8348899789769,1987
DEBY,0.1819455622918545,137.99993742889646,1987
DEHB,0.1910343616134637,131.75351170568564,1987
DEHE,0.1575804063759598,131.59142938631933,1987
DEHH,0.1987144684227239,133.99737187910645,1987
DEMV,0.1869560350235763,148.9778651980068,1987
DENI,0.2181210305328761,129.42976933457032,1987
DENW,0.1562037170375439,128.8004655520745,1987
DERP,0.1571915244969618,136.7037433962264,1987
DESH,0.2178568922185598,132.81789030091525,1987
DESL,0.2042365685938934,140.9681153846154,1987
DESN,0.1725786463427156,135.64040608581433,1987
DEST,0.1860117243440789,136.20949259529013,1987
DETH,0.1541511316076791,131.6216380368098,1987
DEBB,0.1757553881264148,162.09621291744364,1988
DEBE,0.1323327911746438,162.26119235095615,1988
DEBW,0.2058062424723669,149.08649754730206,1988
DEBY,0.1838958561049784,148.5345890216155,1988
DEHB,0.1630090638860872,135.34214046822743,1988
DEHE,0.1583062340450682,136.19566478109996,1988
DEHH,0.2567313896671152,135.08278580814718,1988
DEMV,0.151753932954645,157.51295130693245,1988
DENI,0.2305299322944938,134.35554946445137,1988
DENW,0.2084653495177519,130.36951658712266,1988
DERP,0.2708491098244193,140.5845031446541,1988
DESH,0.1808130131418066,140.96403502995983,1988
DESL,0.2402838572466235,150.58046153846155,1988
DESN,0.1605030464858365,150.7686186514886,1988
DEST,0.2441921763818367,150.10979849478028,1988
DETH,0.1884000805210279,141.99197546012272,1988
DEBB,0.1981631039711992,190.7470757755552,1989
DEBE,0.1370712929926963,191.3937007874016,1989
DEBW,0.2278400587142102,175.57632515767344,1989
DEBY,0.2144777860134608,160.887622298066,1989
DEHB,0.2182571731132321,168.20066889632108,1989
DEHE,0.2377795537445589,163.08012549317866,1989
DEHH,0.1748476768326324,169.9789750328515,1989
DEMV,0.2044611180577419,188.21507998950955,1989
DENI,0.2489443244742609,169.85013283292574,1989
DENW,0.2428329812803173,172.24776739964278,1989
DERP,0.2374373853853591,170.60864905660375,1989
DESH,0.248031176711555,171.01638901692235,1989
DESL,0.2270917371965357,181.2547307692308,1989
DESN,0.2073400038110568,180.8930987302977,1989
DEST,0.2048772341507472,183.73267783442583,1989
