system:index,mean_NDVI,month,time,year,.geo
0,-0.13773594469282316,Apr,449625600000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.33025098282553855,May,452217600000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.28106395780909205,Jun,454896000000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.3169105007735852,Jul,457488000000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.22714826369217908,Aug,460166400000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.2887770763952587,Sep,462844800000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.24770127410753784,Oct,465436800000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.16785692277556527,Nov,468115200000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.2568559226287261,Dec,470707200000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.5255329563641019,Jan,473385600000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.5119634035010512,Feb,476064000000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.18593479895937284,Mar,478483200000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-0.139448630084325,Apr,481161600000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.2910696722786101,May,483753600000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.2824373905882203,Jun,486432000000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.3242447055025661,Jul,489024000000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-0.2458383102684715,Aug,491702400000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-0.2525599045866985,Sep,494380800000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-0.2317889295490551,Oct,496972800000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-0.2122952287430073,Nov,499651200000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-0.3586422024922138,Jan,504921600000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.49985500383443654,Feb,507600000000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.21747276547886701,Mar,510019200000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.03199675667114778,Apr,512697600000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.23100414694416443,May,515289600000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-0.3432283979770061,Jun,517968000000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.32409985478686487,Jul,520560000000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-0.21892208557998677,Aug,523238400000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-0.2189891001654308,Sep,525916800000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-0.24568390943958276,Oct,528508800000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-0.2188282744527016,Nov,531187200000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,-0.25374412709896516,Dec,533779200000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,-0.5635425815279961,Jan,536457600000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.6566128286832664,Feb,539136000000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.5153484284960729,Mar,541555200000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.15903880341475493,Apr,544233600000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-0.2196549927886364,May,546825600000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.3275597044033719,Jul,552096000000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-0.2846812428598831,Aug,554774400000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.23078663886256748,Sep,557452800000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
