system:index,intervalType,mean_NDVI,time,year,.geo
0,Apr,-0.13773594469282316,449625600000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,May,-0.33025098282553855,452217600000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Jun,-0.2810639578090921,454896000000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Jul,-0.3169105007735852,457488000000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Aug,-0.22714826369217905,460166400000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Sep,-0.2887770763952586,462844800000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Oct,-0.24770127410753787,465436800000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Nov,-0.16785692277556524,468115200000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Dec,-0.2568559226287261,470707200000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Jan,-0.5255329563641019,473385600000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Feb,-0.5119634035010512,476064000000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Mar,-0.18593479895937284,478483200000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Apr,-0.139448630084325,481161600000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,May,-0.29106967227861014,483753600000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Jun,-0.2824373905882203,486432000000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Jul,-0.32424470550256607,489024000000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Aug,-0.24583831026847144,491702400000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Sep,-0.2525599045866985,494380800000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Oct,-0.2317889295490551,496972800000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Nov,-0.2122952287430073,499651200000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Jan,-0.3586422024922138,504921600000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Feb,-0.49985500383443665,507600000000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Mar,-0.21747276547886701,510019200000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Apr,-0.03199675667114778,512697600000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,May,-0.2310041469441644,515289600000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Jun,-0.3432283979770061,517968000000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,Jul,-0.32409985478686487,520560000000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Aug,-0.21892208557998677,523238400000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Sep,-0.2189891001654308,525916800000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,Oct,-0.24568390943958276,528508800000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,Nov,-0.2188282744527016,531187200000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,Dec,-0.25374412709896516,533779200000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,Jan,-0.5635425815279961,536457600000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,Feb,-0.6566128286832664,539136000000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,Mar,-0.5153484284960729,541555200000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,Apr,-0.15903880341475493,544233600000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
