system:index,intervalType,mean_NDVI,time,year,.geo
0,Q2,-0.23274716522162078,449625600000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Q3,-0.2420337896741802,457488000000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Q4,-0.2139156133597633,465436800000,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Q1,-0.4582051666674463,473385600000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Q2,-0.2615549309395197,481161600000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Q3,-0.26240564143745315,489024000000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Q4,-0.23056967200559966,496972800000,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Q1,-0.44580901681152807,504921600000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Q2,-0.2709125349250571,512697600000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Q3,-0.23433519880080164,520560000000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Q4,-0.2265032991358553,528508800000,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Q1,-0.5556804476658738,536457600000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Q2,-0.166678816789445,544233600000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Q3,-0.28999112973857777,552096000000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Q4,-0.24888268984189033,560044800000,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Q1,-0.4305969628284856,567993600000,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Q2,-0.22310315874612605,575856000000,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Q3,-0.2796017545693103,583718400000,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Q4,-0.23949371519273982,591667200000,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Q1,-0.17942916489210775,599616000000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Q2,-0.3118519451985664,607392000000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Q3,-0.23438933260247835,615254400000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Q4,-0.21932974138707564,623203200000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Q1,-0.15466392987769884,631152000000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,Q2,-0.2794615259255604,638928000000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Q3,-0.2112562531492026,646790400000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,Q4,-0.241235885996707,654739200000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Q1,-0.24409766793261364,662688000000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Q2,-0.18402374908822977,670464000000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,Q3,-0.261233271567063,678326400000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,Q4,-0.21037702701038286,686275200000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,Q1,-0.29285040877551555,694224000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,Q2,-0.26364038245561033,702086400000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,Q3,-0.23627315297944476,709948800000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,Q4,-0.22226580656189715,717897600000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,Q1,-0.12361106676634671,725846400000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,Q2,-0.2598519574031515,733622400000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,Q3,-0.2634277107541315,741484800000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,Q4,-0.23062058185615325,749433600000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,Q1,-0.1624170479162822,757382400000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,Q2,-0.2627667808416151,765158400000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,Q3,-0.25416909544216126,773020800000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,Q4,-0.21247943081399143,780969600000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,Q1,-0.17514312423396547,788918400000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,Q2,-0.3243530731042036,796694400000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,Q3,-0.2459906649799324,804556800000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,Q4,-0.2965437266741874,812505600000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,Q1,-0.450155720455449,820454400000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,Q2,-0.19914031141134525,828316800000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,Q3,-0.24517420219926475,836179200000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,Q4,-0.3797756565840854,844128000000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,Q1,-0.21164049675121238,852076800000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,Q2,-0.31221285285700545,859852800000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,Q3,-0.23562407072319866,867715200000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,Q4,-0.1681512996015662,875664000000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,Q1,-0.2133493292801025,883612800000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,Q2,-0.318513668369208,891388800000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,Q3,-0.23023719753990157,899251200000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,Q4,-0.25327645742581645,907200000000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,Q1,-0.21649006587402822,915148800000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,Q2,-0.2794625615803555,922924800000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,Q3,-0.25564708645778117,930787200000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,Q4,-0.25740767398600783,938736000000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,Q1,-0.5381059435795388,946684800000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,Q2,-0.3229388505220272,954547200000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,Q3,-0.22531653760895323,962409600000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,Q4,-0.2536835004935977,970358400000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,Q1,-0.3373074787151282,978307200000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,Q2,-0.33374007766016567,986083200000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,Q3,-0.23463592203097222,993945600000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,Q4,-0.3828245123912578,1001894400000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
